dataset_type,lang,dataset_folder,seed,model_name,lr,bs,epochs,checkpoint,decoding_strategy,use_constrained_decoding,precision,recall,f1,timestamp,source_path
hotel_reviews,eng,mvp,123,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,69.5060164661178,68.765664160401,69.13385826771655,20260729_115731,outputs/evals/hotel_reviews/eng/mvp/seed_123/20260729_115731_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp,2024,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,68.52323360916614,67.4498746867168,67.98231765077361,20260729_140648,outputs/evals/hotel_reviews/eng/mvp/seed_2024/20260729_140648_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp,31415,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,68.09375,68.26441102756893,68.17897371714643,20260729_161649,outputs/evals/hotel_reviews/eng/mvp/seed_31415/20260729_161649_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp,777,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,69.07605279698303,68.85964912280701,68.96768120489489,20260729_182547,outputs/evals/hotel_reviews/eng/mvp/seed_777/20260729_182547_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp,9584,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,68.60972568578553,68.95363408521304,68.78125,20260729_094912,outputs/evals/hotel_reviews/eng/mvp/seed_9584/20260729_094912_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp_aos,123,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,68.45275840202916,67.63784461152882,68.0428616451308,20260731_013257,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260731_013257_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp_aos,2024,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,68.82463859208046,68.60902255639097,68.71666143708816,20260731_015909,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260731_015909_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp_aos,31415,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,67.9734429339235,67.35588972431079,67.66325727773406,20260731_022537,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260731_022537_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp_aos,777,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,68.15904821540389,68.2017543859649,68.18039461321642,20260731_025151,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260731_025151_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/instruct_absa.json
hotel_reviews,eng,mvp_aos,9584,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,69.27462781121318,68.51503759398496,68.89273901401796,20260731_010639,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260731_010639_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/instruct_absa.json
hotel_reviews,indo,mvp,123,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,68.24567134923227,68.26797385620915,68.25682078091815,20260802_055529,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260802_055529_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,indo,mvp,2024,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,67.47620610436495,67.18954248366013,67.33256918290486,20260802_080420,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260802_080420_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
hotel_reviews,indo,mvp,31415,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,68.41415465268676,68.23529411764706,68.32460732984293,20260802_101449,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260802_101449_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/instruct_absa.json
