lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260604_004150_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,62.12624584717608,62.58366800535475,62.35411803934645,614.1451374560129,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260604_004150_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,123,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,55.09320905459387,55.38821954484605,55.24032042723631,655.3467135530664,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,2024,20260604_005520_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,61.84686164968781,62.98527443105756,62.41087713480352,636.0986070539802,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260604_005520_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,2024,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,55.451817272424144,55.65595716198126,55.55369968264574,666.7191669440363,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,31415,20260604_005930_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,61.94398682042833,62.91834002677377,62.427361779843935,629.345266270102,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260604_005930_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,31415,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,54.91233873635461,55.55555555555556,55.23207453002827,668.7108588420087,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,777,20260604_005931_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,62.93961512939615,63.48728246318608,63.21226257914029,609.1892300000181,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260604_005931_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,777,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,54.280091833388,55.38821954484605,54.828557230412464,689.3919216759969,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,9584,20260604_003841_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,62.441937624419374,62.98527443105756,62.712429190269916,623.8643543199869,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260604_003841_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,9584,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,53.23624595469255,55.053547523427035,54.12964791049687,678.6623630430549,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,123,20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,70.19621109607577,69.49095780308105,69.8418041063615,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/constrained_decoding/inference_results.json
indo,123,20260604_044408_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,61.1417450535193,63.12793034159411,62.11896523315209,721.4525819109986,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260604_044408_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,123,20260603_162230_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,51.2179278986684,52.813127930341594,52.003297609233314,702.7237360100262,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260603_162230_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
