lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260403_073649_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,87.31196860693264,89.35742971887551,88.32285808799207,,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260403_073649_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,2024,20260403_074819_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,87.72563176895306,89.45783132530121,88.58326429163215,,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260403_074819_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,31415,20260403_075927_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,88.32116788321169,89.0896921017403,88.70376541152949,,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260403_075927_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,777,20260403_081036_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,88.12830687830689,89.19009370816599,88.65602129075182,,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260403_081036_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,9584,20260403_072459_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,88.27201051248358,89.92637215528781,89.09151193633951,,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260403_072459_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,123,20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,86.36671177266577,85.49899531145346,85.93066307640524,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/constrained_decoding/inference_results.json
indo,123,20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,86.17308992562542,85.36503683858004,85.7671601615074,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260226_054857_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,2024,20260226_063347_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,85.96904441453567,85.56597454789015,85.76703591809331,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_2024/20260226_063347_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/constrained_decoding/inference_results.json
indo,2024,20260226_063347_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,85.72871087176036,85.29805760214334,85.51284203458115,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_2024/20260226_063347_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,31415,20260226_065122_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,86.22073578595317,86.33623576691227,86.27844712182062,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_31415/20260226_065122_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/constrained_decoding/inference_results.json
indo,31415,20260226_065122_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,86.09160815780676,86.2357669122572,86.16362723774469,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_31415/20260226_065122_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,777,20260226_070836_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,85.22689632328586,86.1687876758205,85.69525395503746,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_777/20260226_070836_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/constrained_decoding/inference_results.json
indo,777,20260226_070836_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,85.2882703777336,86.20227729403884,85.74283810792804,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_777/20260226_070836_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
indo,9584,20260226_053118_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,True,85.7620320855615,85.93436034829203,85.84810973569755,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_9584/20260226_053118_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/constrained_decoding/inference_results.json
indo,9584,20260226_053118_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,85.81441922563417,86.10180843938379,85.95787362086259,,outputs/evals/hotel_reviews/indo/mvp_aos/seed_9584/20260226_053118_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
jav,123,20260403_083308_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,81.4582645991422,82.52005347593582,81.98572140129502,,outputs/evals/hotel_reviews/jav/mvp_aos/seed_123/20260403_083308_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
jav,2024,20260403_084444_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,83.22645966925414,82.41978609625669,82.8211586901763,,outputs/evals/hotel_reviews/jav/mvp_aos/seed_2024/20260403_084444_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
jav,31415,20260403_085651_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,82.75058275058275,83.0548128342246,82.90241868223521,,outputs/evals/hotel_reviews/jav/mvp_aos/seed_31415/20260403_085651_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-1560/checkpoint-1560/unconstrained_decoding/inference_results.json
