lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260604_004150_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,67.36284289276809,67.70050125313283,67.53125,614.1451374560129,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260604_004150_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,123,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,59.58307405102676,59.9937343358396,59.78769903215735,655.3467135530664,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,2024,20260604_005520_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,66.80024660912454,67.88847117794487,67.33996270975763,636.0986070539802,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260604_005520_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,2024,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,60.06868560724321,60.27568922305765,60.17200938232995,666.7191669440363,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,31415,20260604_005930_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,66.87173177483852,68.10776942355889,67.48409126183455,629.345266270102,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260604_005930_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,31415,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,59.38375350140056,59.77443609022557,59.57845433255269,668.7108588420087,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,777,20260604_005931_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,68.21295143212951,68.64035087719299,68.4259837601499,609.1892300000181,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260604_005931_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,777,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,58.76951331496786,60.150375939849624,59.45192754296331,689.3919216759969,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,9584,20260604_003841_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,67.43970315398887,68.32706766917293,67.88048552754437,623.8643543199869,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260604_003841_train_model-Qwen2.5-0.5B_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
eng,9584,20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10,checkpoint-1560,hotel_reviews,mvp_aos,False,58.37656393042416,59.93107769423559,59.14360797650332,678.6623630430549,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260603_120922_train_model-gemma-3-270m_lr-1e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/inference_results.json
