lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,86.99551569506725,84.40428380187416,85.68031255308306,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/seed_123/20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,2024,20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,86.15857826384142,84.37081659973227,85.25532634426784,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,31415,20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,86.21165115477422,83.70147255689425,84.93802003735779,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,777,20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,87.50879662209712,83.23293172690764,85.31732418524872,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/seed_777/20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,9584,20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,85.59206023271732,83.70147255689425,84.63620981387479,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,123,20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,84.15492957746478,80.04018754186203,82.0460006865774,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/seed_123/20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,2024,20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,84.12698412698413,81.64768921634294,82.86879673691368,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/seed_2024/20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,31415,20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,85.04019573575673,81.48024112525117,83.22216521292971,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/seed_31415/20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,777,20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,84.2966573816156,81.07836570663093,82.65619665414818,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/seed_777/20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,9584,20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,84.2946490618485,81.2458137977227,82.74215552523874,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/seed_9584/20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
