dataset_type,lang,dataset_folder,seed,model_name,lr,bs,epochs,checkpoint,decoding_strategy,use_constrained_decoding,precision,recall,f1,timestamp,source_path
hotel_reviews,eng,mvp,123,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,62.55447536037546,62.44979919678715,62.50209345168314,20260729_115731,outputs/evals/hotel_reviews/eng/mvp/seed_123/20260729_115731_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp,2024,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,61.654387139986596,61.61311914323962,61.633746233679275,20260729_140648,outputs/evals/hotel_reviews/eng/mvp/seed_2024/20260729_140648_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp,31415,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,61.50265957446809,61.91432396251674,61.70780520346898,20260729_161649,outputs/evals/hotel_reviews/eng/mvp/seed_31415/20260729_161649_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp,777,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,61.569148936170215,61.98125836680054,61.77451634422949,20260729_182547,outputs/evals/hotel_reviews/eng/mvp/seed_777/20260729_182547_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp,9584,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,62.259774685222006,62.88487282463186,62.570762570762575,20260729_094912,outputs/evals/hotel_reviews/eng/mvp/seed_9584/20260729_094912_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp_aos,123,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,61.30332549546523,61.077643908969215,61.19027661357922,20260731_013257,outputs/evals/hotel_reviews/eng/mvp_aos/seed_123/20260731_013257_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp_aos,2024,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,62.25276567214214,62.14859437751004,62.20063640931167,20260731_015909,outputs/evals/hotel_reviews/eng/mvp_aos/seed_2024/20260731_015909_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp_aos,31415,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,60.96989966555184,61.01070950468541,60.99029775844764,20260731_022537,outputs/evals/hotel_reviews/eng/mvp_aos/seed_31415/20260731_022537_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp_aos,777,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,61.28604574080212,61.88085676037483,61.582014987510405,20260731_025151,outputs/evals/hotel_reviews/eng/mvp_aos/seed_777/20260731_025151_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
hotel_reviews,eng,mvp_aos,9584,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,61.92706590833055,61.94779116465864,61.93742680274386,20260731_010639,outputs/evals/hotel_reviews/eng/mvp_aos/seed_9584/20260731_010639_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp,123,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,65.5126498002663,65.90756865371735,65.70951585976628,20260802_055529,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260802_055529_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp,2024,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,65.01496508147655,65.47220361687877,65.24278324712164,20260802_080420,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260802_080420_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp,31415,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,65.43824701195219,66.00803750837241,65.72190730243416,20260802_101449,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260802_101449_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp,777,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,66.20324395895398,66.97923643670462,66.5889795238888,20260802_122416,outputs/evals/hotel_reviews/indo/mvp/seed_777/20260802_122416_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp,9584,gemma-3-270m,5e-05,4,10,7760,unconstrained_decoding,False,66.06905710491368,66.6443402545211,66.35545181727242,20260802_034546,outputs/evals/hotel_reviews/indo/mvp/seed_9584/20260802_034546_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/exact_match.json
hotel_reviews,indo,mvp_aos,123,gemma-3-270m,5e-05,4,10,1560,unconstrained_decoding,False,64.10940627084723,64.36704621567314,64.2379679144385,20260802_041359,outputs/evals/hotel_reviews/indo/mvp_aos/seed_123/20260802_041359_train_model-gemma-3-270m_lr-5e-05_bs-4_epochs-10/checkpoint-1560/unconstrained_decoding/exact_match.json
