lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,72.096,70.5827067669173,71.33132816210225,,outputs/evals/hotel_reviews/eng/mvp/seed_123/20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,2024,20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,72.82574068174577,71.61654135338345,72.21607960827673,,outputs/evals/hotel_reviews/eng/mvp/seed_2024/20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,31415,20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.93320488118175,70.17543859649122,71.04345068189025,,outputs/evals/hotel_reviews/eng/mvp/seed_31415/20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,777,20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,72.40824211204121,70.45739348370927,71.41949825341378,,outputs/evals/hotel_reviews/eng/mvp/seed_777/20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,9584,20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.61125319693095,70.17543859649122,70.8860759493671,,outputs/evals/hotel_reviews/eng/mvp/seed_9584/20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,73.25819672131148,70.09803921568627,71.64328657314628,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,73.11643835616438,69.77124183006535,71.4046822742475,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,72.09223465581553,69.47712418300654,70.76052587784989,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.80706521739131,69.08496732026144,70.4197201865423,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,31415,20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,73.63048656005444,70.71895424836602,72.14535755959328,,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
